timestep_time,vehicle_0_pos,vehicle_1_pos,vehicle_10_pos,vehicle_11_pos,vehicle_12_pos,vehicle_13_pos,vehicle_14_pos,vehicle_15_pos,vehicle_16_pos,vehicle_17_pos,vehicle_19_pos,vehicle_2_pos,vehicle_4_pos,vehicle_5_pos,vehicle_6_pos,vehicle_7_pos,vehicle_8_pos,vehicle_0_speed,vehicle_1_speed,vehicle_10_speed,vehicle_11_speed,vehicle_12_speed,vehicle_13_speed,vehicle_14_speed,vehicle_15_speed,vehicle_16_speed,vehicle_17_speed,vehicle_19_speed,vehicle_2_speed,vehicle_4_speed,vehicle_5_speed,vehicle_6_speed,vehicle_7_speed,vehicle_8_speed
54,643.23,362.75,476.04,551.59,441.71,113.18,383.1,167.0,203.39,104.06,200.55,186.78,99.19,55.45,30.7,18.04,5.1,12.13,6.92,9.78,13.06,11.07,3.06,12.14,4.94,6.72,3.66,10.55,11.54,6.16,6.93,4.33,5.77,0.0
55,655.9,370.55,486.83,564.9,452.88,116.03,395.42,171.63,211.02,108.27,211.44,199.25,103.51,61.61,36.01,24.82,6.55,12.66,7.8,10.79,13.31,11.16,2.85,12.32,4.62,7.63,4.21,10.88,12.47,4.32,6.16,5.32,6.78,1.45
56,668.23,378.11,497.09,578.71,464.19,119.14,406.73,177.03,218.35,111.52,222.21,211.16,107.05,67.78,40.62,32.47,9.5,12.33,7.56,10.26,13.82,11.31,3.11,11.31,5.4,7.33,3.25,10.77,11.91,3.54,6.17,4.61,7.65,2.94
57,679.96,385.32,507.35,591.86,475.16,122.11,419.15,181.79,225.11,115.34,232.95,223.58,110.5,75.01,45.28,39.39,15.02,11.73,7.21,10.26,13.15,10.97,2.98,12.42,4.76,6.76,3.82,10.75,12.41,3.44,7.24,4.65,6.92,5.52
58,692.82,393.16,517.24,604.84,486.88,124.68,431.39,186.27,231.74,118.68,243.81,235.65,113.74,81.46,49.98,46.9,22.57,12.86,7.84,9.88,12.98,11.72,2.57,12.24,4.48,6.63,3.34,10.86,12.07,3.24,6.45,4.71,7.51,7.55
59,704.78,400.36,527.62,618.26,497.98,127.36,443.14,191.43,239.43,122.14,254.89,247.12,115.89,88.78,55.04,53.94,30.23,11.96,7.2,10.38,13.42,11.1,2.68,11.74,5.16,7.7,3.46,11.08,11.47,2.15,7.32,5.06,7.04,7.67
60,716.59,407.89,537.76,632.07,509.52,129.65,455.47,197.0,246.27,126.04,265.9,259.25,119.49,95.96,60.11,61.35,36.81,11.8,7.53,10.14,13.81,11.55,2.28,12.34,5.57,6.84,3.9,11.01,12.12,3.6,7.18,5.07,7.4,6.58
61,728.39,414.66,547.76,645.53,520.86,131.85,466.7,202.16,253.29,129.72,276.46,270.49,121.41,102.14,65.4,69.09,44.38,11.81,6.77,10.01,13.47,11.34,2.2,11.22,5.17,7.02,3.68,10.56,11.25,1.92,6.17,5.29,7.75,7.57
62,740.4,421.99,557.42,658.96,532.33,134.62,478.91,207.47,260.42,134.21,286.82,282.78,124.05,108.51,70.02,76.07,51.52,12.0,7.33,9.66,13.42,11.47,2.77,12.21,5.31,7.13,4.49,10.35,12.29,2.63,6.38,4.62,6.97,7.14
63,752.29,429.64,567.92,671.8,543.15,137.36,490.67,212.1,268.28,138.13,297.53,294.5,126.35,114.19,74.32,83.09,58.98,11.89,7.65,10.5,12.84,10.82,2.74,11.76,4.63,7.86,3.92,10.71,11.72,2.3,5.68,4.3,7.02,7.46
64,765.07,437.37,578.02,685.04,554.46,140.53,502.2,217.0,275.25,141.96,308.38,306.89,128.79,120.34,78.58,91.05,65.06,12.77,7.73,10.1,13.24,11.31,3.17,11.53,4.89,6.97,3.83,10.85,12.39,2.45,6.15,4.26,7.96,6.08
65,777.92,444.37,587.77,698.14,564.99,142.81,513.56,221.9,283.12,146.22,318.76,318.48,131.97,126.81,82.7,98.24,69.61,12.85,6.99,9.75,13.1,10.52,2.28,11.36,4.91,7.87,4.26,10.37,11.59,3.18,6.47,4.12,7.19,4.55
66,790.45,451.0,598.66,710.93,575.68,145.07,525.72,226.75,289.93,149.97,330.16,330.89,135.1,134.03,87.43,105.3,74.13,12.53,6.63,10.9,12.79,10.69,2.26,12.16,4.85,6.82,3.75,11.4,12.41,3.13,7.22,4.73,7.06,4.53
67,802.62,458.74,609.56,723.74,587.42,147.5,537.97,231.17,296.84,154.46,340.83,342.62,136.99,140.3,92.02,112.58,80.02,12.18,7.74,10.89,12.81,11.74,2.43,12.26,4.42,6.91,4.49,10.67,11.73,1.89,6.26,4.59,7.28,5.88
68,815.5,465.89,619.57,737.23,598.88,149.91,550.21,236.3,303.82,157.98,352.42,353.82,140.28,147.3,96.89,119.78,87.23,12.88,7.16,10.01,13.49,11.46,2.41,12.24,5.13,6.98,3.53,11.59,11.2,3.3,7.0,4.87,7.2,7.21
69,828.34,472.85,629.72,750.61,609.6,152.06,562.35,241.82,311.58,161.33,363.09,365.92,145.95,154.14,102.01,127.5,93.9,12.83,6.96,10.15,13.38,10.72,2.15,12.14,5.52,7.76,3.35,10.66,12.1,5.67,6.84,5.12,7.73,6.68
70,840.45,480.07,640.03,764.31,619.3,154.75,574.47,247.31,318.49,165.78,373.98,377.97,151.44,161.09,106.67,134.97,101.3,12.11,7.22,10.31,13.7,9.7,2.69,12.12,5.49,6.92,4.45,10.89,12.05,5.49,6.95,4.66,7.46,7.39
71,852.57,487.55,650.86,777.16,630.03,157.97,586.14,252.28,325.78,169.46,385.35,389.49,158.29,167.68,111.11,141.42,109.02,12.13,7.47,10.83,12.85,10.73,3.22,11.67,4.97,7.29,3.67,11.37,11.52,6.85,6.59,4.44,6.45,7.72
72,865.19,494.8,661.27,789.92,640.73,160.88,597.38,257.58,333.06,173.32,395.92,401.86,167.46,173.91,116.03,148.85,116.04,12.62,7.25,10.41,12.76,10.7,2.91,11.24,5.3,7.28,3.87,10.57,12.37,9.17,6.22,4.93,7.42,7.02
73,878.14,502.21,670.96,802.91,651.94,163.62,609.07,263.26,340.27,176.84,406.24,413.41,176.51,180.85,120.3,156.28,122.92,12.95,7.42,9.69,12.99,11.2,2.74,11.69,5.68,7.21,3.52,10.33,11.55,9.05,6.94,4.27,7.43,6.88
74,890.16,509.09,681.52,816.49,663.41,165.84,620.95,268.83,347.84,180.14,417.49,424.75,186.04,188.15,124.41,163.12,129.96,12.02,6.87,10.56,13.58,11.47,2.22,11.88,5.56,7.57,3.29,11.24,11.34,9.53,7.31,4.11,6.84,7.04
