timestep_time,vehicle_0,vehicle_1,vehicle_10,vehicle_11,vehicle_12,vehicle_13,vehicle_14,vehicle_15,vehicle_16,vehicle_17,vehicle_18,vehicle_19,vehicle_2,vehicle_4,vehicle_5,vehicle_6,vehicle_7,vehicle_8
57,11.73,7.21,10.26,13.15,10.97,2.98,12.42,4.76,6.76,3.82,13.41,10.75,12.41,3.44,7.24,4.65,6.92,5.52
58,12.86,7.84,9.88,12.98,11.72,2.57,12.24,4.48,6.63,3.34,13.12,10.86,12.07,3.24,6.45,4.71,7.51,7.55
59,11.96,7.2,10.38,13.42,11.1,2.68,11.74,5.16,7.7,3.46,13.31,11.08,11.47,2.15,7.32,5.06,7.04,7.67
60,11.8,7.53,10.14,13.81,11.55,2.28,12.34,5.57,6.84,3.9,13.64,11.01,12.12,3.6,7.18,5.07,7.4,6.58
61,11.81,6.77,10.01,13.47,11.34,2.2,11.22,5.17,7.02,3.68,13.54,10.56,11.25,1.92,6.17,5.29,7.75,7.57
62,12,7.33,9.66,13.42,11.47,2.77,12.21,5.31,7.13,4.49,13.39,10.35,12.29,2.63,6.38,4.62,6.97,7.14
63,11.89,7.65,10.5,12.84,10.82,2.74,11.76,4.63,7.86,3.92,13.16,10.71,11.72,2.3,5.68,4.3,7.02,7.46
64,12.77,7.73,10.1,13.24,11.31,3.17,11.53,4.89,6.97,3.83,13.2,10.85,12.39,2.45,6.15,4.26,7.96,6.08
65,12.85,6.99,9.75,13.1,10.52,2.28,11.36,4.91,7.87,4.26,13.67,10.37,11.59,3.18,6.47,4.12,7.19,4.55
66,12.53,6.63,10.9,12.79,10.69,2.26,12.16,4.85,6.82,3.75,13.3,11.4,12.41,3.13,7.22,4.73,7.06,4.53
67,12.18,7.74,10.89,12.81,11.74,2.43,12.26,4.42,6.91,4.49,13.34,10.67,11.73,1.89,6.26,4.59,7.28,5.88
68,12.88,7.16,10.01,13.49,11.46,2.41,12.24,5.13,6.98,3.53,13.4,11.59,11.2,3.3,7,4.87,7.2,7.21
69,12.83,6.96,10.15,13.38,10.72,2.15,12.14,5.52,7.76,3.35,13.2,10.66,12.1,5.67,6.84,5.12,7.73,6.68
70,12.11,7.22,10.31,13.7,9.7,2.69,12.12,5.49,6.92,4.45,13.91,10.89,12.05,5.49,6.95,4.66,7.46,7.39
71,12.13,7.47,10.83,12.85,10.73,3.22,11.67,4.97,7.29,3.67,14.06,11.37,11.52,6.85,6.59,4.44,6.45,7.72
72,12.62,7.25,10.41,12.76,10.7,2.91,11.24,5.3,7.28,3.87,13.42,10.57,12.37,9.17,6.22,4.93,7.42,7.02
73,12.95,7.42,9.69,12.99,11.2,2.74,11.69,5.68,7.21,3.52,13.83,10.33,11.55,9.05,6.94,4.27,7.43,6.88
74,12.02,6.87,10.56,13.58,11.47,2.22,11.88,5.56,7.57,3.29,13.82,11.24,11.34,9.53,7.31,4.11,6.84,7.04
75,12.11,6.87,9.65,12.75,11.77,2.15,11.25,4.48,7.45,3.84,13.71,10.88,12.37,8.87,6.43,5.36,7.58,7.4
76,11.9,6.68,10.91,13.89,10.83,3.37,12.26,4.97,7.76,4.03,14.06,11.32,11.22,9.09,6.4,4.52,7.3,7.78
77,12.53,6.68,10.37,13.62,11.7,3.09,11.4,4.83,7.61,4.42,13.63,10.58,11.21,9.61,6.33,4.24,7.03,6.64
78,12.23,6.83,9.88,13.35,10.81,3.12,11.58,4.44,7.4,3.35,13.48,11.2,11.25,9.84,6.7,4.39,6.8,7.15
79,12.49,7.13,9.88,13.79,11.69,2.92,11.48,5.43,6.69,3.55,14.18,10.46,12.09,9.4,6.79,5.18,6.98,7.05
80,11.75,7.01,10.46,13.29,10.58,2.63,11.99,5.62,7.72,3.44,14.18,10.67,11.96,9.23,6.48,4.95,7.07,6.68
81,11.94,7.58,10.73,13.28,10.63,2.71,12.32,4.43,7.84,3.96,14.21,11.08,11.44,9.42,6.58,4.27,7.19,7.7
82,12.94,7.38,9.81,12.87,11.08,2.87,11.21,5.54,7,3.48,13.75,10.49,11.98,9.52,6.75,4.36,8.03,7.79
83,12.57,7.15,10.13,13.87,11.36,3.12,12.2,5.62,7.57,3.53,13.52,10.98,11.34,9.38,6.77,4.93,6.89,6.7
84,12.44,6.64,10.78,13.31,10.87,3.06,11.4,5.06,7.17,4.19,13.7,10.37,12.3,8.99,7.03,4.67,7.36,7.2
85,12.51,7.24,9.96,13.33,11.63,2.78,11.6,5.51,6.61,3.48,14.11,11.06,12.05,9.22,7.31,4.59,7.98,6.59
86,12.21,7.33,10.71,13.51,11.39,2.78,11.34,5.1,7.78,3.75,13.91,10.52,12.12,9.92,6.92,4.17,6.94,6.54
87,12.93,7.22,9.93,13.39,11.74,2.95,12.19,5.61,7.67,3.87,14.07,10.39,12.1,9.6,6.36,5.31,6.78,7.07
88,12.71,7.13,10.38,13.44,11.75,2.77,12.2,4.7,6.69,3.62,13.55,11.59,12.28,9.28,7.07,4.84,7.59,6.85
89,12.95,6.68,10.79,13.65,10.92,2.9,12.06,5.47,7.05,3.36,13.58,10.45,11.45,8.97,6.39,4.73,6.97,7.51
90,12.34,7.83,10.54,13.51,11.08,3.28,11.22,5.16,7.71,3.29,13.93,10.53,12.04,9.36,6.45,4.49,6.95,7.14
91,12.34,6.75,9.9,13.41,10.67,3.17,12.03,4.7,7.51,4.27,13.66,10.57,11.64,9.11,6.64,4.76,6.63,7.63
92,12.26,7.84,10.34,13.51,11.12,2.39,11.36,5.58,7.79,3.52,13.2,11.24,12.15,9.8,6.43,2.61,7.08,6.57
93,12.01,7.48,10.7,13.97,11.59,2.78,11.85,4.83,7.28,4.27,13.66,11.49,12.27,8.87,6.31,4.25,6.73,6.71
94,12.51,6.83,9.97,13.2,11.43,2.39,12.25,4.45,7.78,3.72,13.34,9.75,11.21,9.44,7.04,4.99,7.63,7.72
95,13.01,7.07,10.8,13.74,11.42,2.48,11.76,4.59,6.97,4.49,13.28,10.65,11.2,10.1,6.83,4.54,7.31,6.64
96,12.01,7.1,10.21,13.2,11.54,2.29,11.56,5.46,7.88,3.94,13.25,11.15,11.89,9.8,6.52,4.12,7.82,6.97
97,12.13,7.36,10.11,13.42,10.85,2.85,11.59,4.96,7.65,4.09,13.02,10.85,11.51,9.47,7.16,4.99,6.92,7.06
98,12.47,7.54,10.15,13.59,10.99,2.48,11.16,4.67,7.4,4.13,14,11.17,11.96,9.96,6.7,4.3,7.85,7.8
99,11.78,7.71,10.36,13.8,10.7,2.91,11.48,4.44,7.05,4.41,13.48,10.36,11.74,10.08,7.01,4.16,7.12,6.63
100,12.04,6.96,10.18,13.18,10.56,2.71,12.25,5.55,7.34,3.53,13.85,10.68,11.84,9.37,6.88,5.23,7.24,6.77
101,12.17,7.75,10.42,13.07,11.63,3.34,11.54,5.22,6.75,4.33,13.6,11.29,11.83,9.97,7.16,5.15,7.57,7.26
102,12.28,7.47,10.2,13.29,10.61,3.33,10.54,5.15,7.35,3.63,13.9,11.17,12.01,9.08,7.06,4.67,7.33,7.44
103,11.86,7.81,9.68,12.79,10.83,3.38,11.55,5.56,7.78,3.76,13.3,10.33,12.19,9.1,7.24,4.35,7.53,7.4
104,12.09,7.21,9.74,12.88,10.78,2.36,10.07,4.54,7.52,3.96,13.18,11.15,11.35,9.63,6.39,5.29,7.57,7.63
105,12.71,7.32,9.83,12.88,11.31,3.16,9.63,4.44,6.94,3.74,14.16,11.55,12.22,10.1,7.25,4.92,7.83,7
106,12.36,7.29,10.39,13.34,10.49,2.32,9.8,5.6,6.74,3.58,13.06,11.55,11.46,9.98,6.25,4.51,7.84,7.74
107,12.24,7.13,10.8,13.91,11.16,2.12,10.01,4.75,6.67,4.38,13.65,11.59,12.46,10.06,6.62,5.17,7.23,6.84
108,11.99,7.39,10.49,13.13,10.84,2.44,11.46,4.73,7.02,4.06,12.23,11.45,11.76,9.9,7.2,4.83,7.85,6.57
109,12.66,7.63,10.26,12.77,11.53,2.19,10.89,5.51,7.26,3.48,11.66,10.97,12.18,9.87,7.07,4.63,8,7.03
110,11.77,7.29,10.8,12.88,11.34,3.14,10.13,5.32,7.74,3.2,13.76,11.28,11.7,9.7,6.52,5.32,7.04,7.2
111,12.7,7.19,10.04,12.82,11.23,2.89,11.33,4.79,6.85,3.66,13.64,11.6,12.08,9.3,6.75,4.75,7.81,6.95
112,12.13,7.14,9.82,13.09,10.85,2.65,12.13,5.45,7.23,3.78,13.03,10.5,12.35,9.21,6.96,4.42,7.83,6.63
113,12.88,7.17,10.01,12.92,10.77,3.33,11.59,5.66,7.86,3.99,14.23,10.46,12.48,9.5,6.55,4.6,6.75,7.29
114,11.8,7.48,10.29,12.73,10.9,2.87,11.86,4.59,7.79,3.84,13.31,10.77,11.39,9.63,6.31,4.4,7.24,7.15
115,11.72,7.56,9.81,12.68,11.29,3,11.75,4.68,6.77,3.64,13.45,11.56,11.98,9.02,4.52,5.22,7.17,6.77
116,11.82,6.93,10.79,12.72,10.88,3.13,11.67,5.4,7.78,4.36,13.53,10.83,12.2,8.94,5.29,4.14,7.77,7.13
117,11.81,6.83,9.59,12.88,11.09,2.22,12.04,4.7,7.67,4.33,13.22,10.68,11.62,10.03,4.77,5.18,7.26,7.37
