time_stamp,veh_0,veh_1,veh_2,veh_3,veh_4,veh_5,veh_6,veh_7,veh_8,veh_9,veh_10,veh_11,veh_12,veh_13,veh_14,veh_15,veh_16,veh_17,veh_18,veh_19
58,"['12.86', '692.82']","['7.84', '393.16']","['9.88', '517.24']","['12.98', '604.84']","['11.72', '486.88']","['2.57', '124.68']","['12.24', '431.39']","['4.48', '186.27']","['6.63', '231.74']","['3.34', '118.68']","['13.12', '337.8']","['10.86', '243.81']","['12.07', '235.65']","['11.04', '222.3']","['3.24', '113.74']","['6.45', '81.46']","['4.71', '49.98']","['7.51', '46.9']","['7.55', '22.57']","['1.58', '6.68']"
59,"['11.96', '704.78']","['7.2', '400.36']","['10.38', '527.62']","['13.42', '618.26']","['11.1', '497.98']","['2.68', '127.36']","['11.74', '443.14']","['5.16', '191.43']","['7.7', '239.43']","['3.46', '122.14']","['13.31', '351.11']","['11.08', '254.89']","['11.47', '247.12']","['11.12', '233.42']","['2.15', '115.89']","['7.32', '88.78']","['5.06', '55.04']","['7.04', '53.94']","['7.67', '30.23']","['2.97', '9.65']"
60,"['11.8', '716.59']","['7.53', '407.89']","['10.14', '537.76']","['13.81', '632.07']","['11.55', '509.52']","['2.28', '129.65']","['12.34', '455.47']","['5.57', '197']","['6.84', '246.27']","['3.9', '126.04']","['13.64', '364.74']","['11.01', '265.9']","['12.12', '259.25']","['11.53', '244.95']","['3.6', '119.49']","['7.18', '95.96']","['5.07', '60.11']","['7.4', '61.35']","['6.58', '36.81']","['4.44', '14.09']"
61,"['11.81', '728.39']","['6.77', '414.66']","['10.01', '547.76']","['13.47', '645.53']","['11.34', '520.86']","['2.2', '131.85']","['11.22', '466.7']","['5.17', '202.16']","['7.02', '253.29']","['3.68', '129.72']","['13.54', '378.29']","['10.56', '276.46']","['11.25', '270.49']","['11.82', '256.77']","['1.92', '121.41']","['6.17', '102.14']","['5.29', '65.4']","['7.75', '69.09']","['7.57', '44.38']","['6.67', '20.75']"
62,"['12', '740.4']","['7.33', '421.99']","['9.66', '557.42']","['13.42', '658.96']","['11.47', '532.33']","['2.77', '134.62']","['12.21', '478.91']","['5.31', '207.47']","['7.13', '260.42']","['4.49', '134.21']","['13.39', '391.68']","['10.35', '286.82']","['12.29', '282.78']","['11.06', '267.83']","['2.63', '124.05']","['6.38', '108.51']","['4.62', '70.02']","['6.97', '76.07']","['7.14', '51.52']","['8.75', '29.5']"
63,"['11.89', '752.29']","['7.65', '429.64']","['10.5', '567.92']","['12.84', '671.8']","['10.82', '543.15']","['2.74', '137.36']","['11.76', '490.67']","['4.63', '212.1']","['7.86', '268.28']","['3.92', '138.13']","['13.16', '404.84']","['10.71', '297.53']","['11.72', '294.5']","['9.9', '277.73']","['2.3', '126.35']","['5.68', '114.19']","['4.3', '74.32']","['7.02', '83.09']","['7.46', '58.98']","['10.28', '39.78']"
64,"['12.77', '765.07']","['7.73', '437.37']","['10.1', '578.02']","['13.24', '685.04']","['11.31', '554.46']","['3.17', '140.53']","['11.53', '502.2']","['4.89', '217']","['6.97', '275.25']","['3.83', '141.96']","['13.2', '418.04']","['10.85', '308.38']","['12.39', '306.89']","['11.66', '289.39']","['2.45', '128.79']","['6.15', '120.34']","['4.26', '78.58']","['7.96', '91.05']","['6.08', '65.06']","['11.94', '51.72']"
65,"['12.85', '777.92']","['6.99', '444.37']","['9.75', '587.77']","['13.1', '698.14']","['10.52', '564.99']","['2.28', '142.81']","['11.36', '513.56']","['4.91', '221.9']","['7.87', '283.12']","['4.26', '146.22']","['13.67', '431.7']","['10.37', '318.76']","['11.59', '318.48']","['13.94', '303.33']","['3.18', '131.97']","['6.47', '126.81']","['4.12', '82.7']","['7.19', '98.24']","['4.55', '69.61']","['13.43', '65.16']"
66,"['12.53', '790.45']","['6.63', '451']","['10.9', '598.66']","['12.79', '710.93']","['10.69', '575.68']","['2.26', '145.07']","['12.16', '525.72']","['4.85', '226.75']","['6.82', '289.93']","['3.75', '149.97']","['13.3', '445']","['11.4', '330.16']","['12.41', '330.89']","['15.42', '318.76']","['3.13', '135.1']","['7.22', '134.03']","['4.73', '87.43']","['7.06', '105.3']","['4.53', '74.13']","['13.04', '78.2']"
67,"['12.18', '802.62']","['7.74', '458.74']","['10.89', '609.56']","['12.81', '723.74']","['11.74', '587.42']","['2.43', '147.5']","['12.26', '537.97']","['4.42', '231.17']","['6.91', '296.84']","['4.49', '154.46']","['13.34', '458.34']","['10.67', '340.83']","['11.73', '342.62']","['14.98', '333.73']","['1.89', '136.99']","['6.26', '140.3']","['4.59', '92.02']","['7.28', '112.58']","['5.88', '80.02']","['15.15', '93.35']"
68,"['12.88', '815.5']","['7.16', '465.89']","['10.01', '619.57']","['13.49', '737.23']","['11.46', '598.88']","['2.41', '149.91']","['12.24', '550.21']","['5.13', '236.3']","['6.98', '303.82']","['3.53', '157.98']","['13.4', '471.74']","['11.59', '352.42']","['11.2', '353.82']","['14.49', '348.23']","['3.3', '140.28']","['7', '147.3']","['4.87', '96.89']","['7.2', '119.78']","['7.21', '87.23']","['16.72', '110.07']"
69,"['12.83', '828.34']","['6.96', '472.85']","['10.15', '629.72']","['13.38', '750.61']","['10.72', '609.6']","['2.15', '152.06']","['12.14', '562.35']","['5.52', '241.82']","['7.76', '311.58']","['3.35', '161.33']","['13.2', '484.93']","['10.66', '363.09']","['12.1', '365.92']","['15.24', '363.46']","['5.67', '145.95']","['6.84', '154.14']","['5.12', '102.01']","['7.73', '127.5']","['6.68', '93.9']","['14.39', '124.47']"
70,"['12.11', '840.45']","['7.22', '480.07']","['10.31', '640.03']","['13.7', '764.31']","['9.7', '619.3']","['2.69', '154.75']","['12.12', '574.47']","['5.49', '247.31']","['6.92', '318.49']","['4.45', '165.78']","['13.91', '498.84']","['10.89', '373.98']","['12.05', '377.97']","['15.35', '378.81']","['5.49', '151.44']","['6.95', '161.09']","['4.66', '106.67']","['7.46', '134.97']","['7.39', '101.3']","['11.51', '135.97']"
