time_stamp,vehicle_pos,vehicle_pos.1,vehicle_pos.2,vehicle_pos.3,vehicle_pos.4,vehicle_pos.5,vehicle_pos.6,vehicle_pos.7,vehicle_pos.8,vehicle_pos.9,vehicle_pos.10,vehicle_pos.11,vehicle_pos.12,vehicle_pos.13,vehicle_pos.14,vehicle_pos.15,vehicle_pos.16,vehicle_pos.17,vehicle_pos.18,vehicle_pos.19
58,692.82,393.16,517.24,604.84,486.88,124.68,431.39,186.27,231.74,118.68,337.8,243.81,235.65,222.3,113.74,81.46,49.98,46.9,22.57,6.68
59,704.78,400.36,527.62,618.26,497.98,127.36,443.14,191.43,239.43,122.14,351.11,254.89,247.12,233.42,115.89,88.78,55.04,53.94,30.23,9.65
60,716.59,407.89,537.76,632.07,509.52,129.65,455.47,197,246.27,126.04,364.74,265.9,259.25,244.95,119.49,95.96,60.11,61.35,36.81,14.09
61,728.39,414.66,547.76,645.53,520.86,131.85,466.7,202.16,253.29,129.72,378.29,276.46,270.49,256.77,121.41,102.14,65.4,69.09,44.38,20.75
62,740.4,421.99,557.42,658.96,532.33,134.62,478.91,207.47,260.42,134.21,391.68,286.82,282.78,267.83,124.05,108.51,70.02,76.07,51.52,29.5
63,752.29,429.64,567.92,671.8,543.15,137.36,490.67,212.1,268.28,138.13,404.84,297.53,294.5,277.73,126.35,114.19,74.32,83.09,58.98,39.78
64,765.07,437.37,578.02,685.04,554.46,140.53,502.2,217,275.25,141.96,418.04,308.38,306.89,289.39,128.79,120.34,78.58,91.05,65.06,51.72
65,777.92,444.37,587.77,698.14,564.99,142.81,513.56,221.9,283.12,146.22,431.7,318.76,318.48,303.33,131.97,126.81,82.7,98.24,69.61,65.16
66,790.45,451,598.66,710.93,575.68,145.07,525.72,226.75,289.93,149.97,445,330.16,330.89,318.76,135.1,134.03,87.43,105.3,74.13,78.2
67,802.62,458.74,609.56,723.74,587.42,147.5,537.97,231.17,296.84,154.46,458.34,340.83,342.62,333.73,136.99,140.3,92.02,112.58,80.02,93.35
68,815.5,465.89,619.57,737.23,598.88,149.91,550.21,236.3,303.82,157.98,471.74,352.42,353.82,348.23,140.28,147.3,96.89,119.78,87.23,110.07
